youtube_id,time_start,time_end,vatex_vid
Tnt0D9s7Qes,132,142,Tnt0D9s7Qes_000132_000142
w3pJXcjtyyw,162,172,w3pJXcjtyyw_000162_000172
dc84Xu6R1cA,107,117,dc84Xu6R1cA_000107_000117
AxpxsMheLZ4,134,144,AxpxsMheLZ4_000134_000144
IwGbDIbg58c,21,31,IwGbDIbg58c_000021_000031
ZKeUk3ytP50,206,216,ZKeUk3ytP50_000206_000216
A1rYh-cr67c,168,178,A1rYh-cr67c_000168_000178
wiso4SuvsKs,483,493,wiso4SuvsKs_000483_000493
N0ZbDTuOlQA,59,69,N0ZbDTuOlQA_000059_000069
teETUlytNmU,211,221,teETUlytNmU_000211_000221
Bedt6pQucJ0,21,31,Bedt6pQucJ0_000021_000031
ZLfyxT77Zw8,241,251,ZLfyxT77Zw8_000241_000251
TTaNaGAR2YA,152,162,TTaNaGAR2YA_000152_000162
NFA2Q57hZYc,11,21,NFA2Q57hZYc_000011_000021
Db35FXmwa6c,6,16,Db35FXmwa6c_000006_000016
7h-oiNSeFWI,296,306,7h-oiNSeFWI_000296_000306
D6B1qRNgTmE,193,203,D6B1qRNgTmE_000193_000203
rkPjfFC3NOo,83,93,rkPjfFC3NOo_000083_000093
I1HR0kGV4ec,10,20,I1HR0kGV4ec_000010_000020
TsR7ZrkPX2Q,43,53,TsR7ZrkPX2Q_000043_000053
TuCc2RwG2fM,354,364,TuCc2RwG2fM_000354_000364
kNfBqTALdaI,180,190,kNfBqTALdaI_000180_000190
x4YgjKh48Pc,65,75,x4YgjKh48Pc_000065_000075
P1Q-D0gw734,56,66,P1Q-D0gw734_000056_000066
Nvl_96JcxAg,27,37,Nvl_96JcxAg_000027_000037
ixyXlqdvouo,133,143,ixyXlqdvouo_000133_000143
Y41Mo5AnDiw,176,186,Y41Mo5AnDiw_000176_000186
S3Hqo5VssQk,0,10,S3Hqo5VssQk_000000_000010
qotfgy8bsGY,21,31,qotfgy8bsGY_000021_000031
O8hx7asUuPg,216,226,O8hx7asUuPg_000216_000226
8yfHzGxzu04,10,20,8yfHzGxzu04_000010_000020
h_msCwIlmT0,20,30,h_msCwIlmT0_000020_000030
ltdI5DN2s8A,27,37,ltdI5DN2s8A_000027_000037
x2g1qflxARk,3,13,x2g1qflxARk_000003_000013
_K_M1Dn6m4U,0,10,_K_M1Dn6m4U_000000_000010
owhZSfriCQU,459,469,owhZSfriCQU_000459_000469
esLA6tBNTbw,137,147,esLA6tBNTbw_000137_000147
LjRWFMiB9_g,154,164,LjRWFMiB9_g_000154_000164
56TmB90VrJo,41,51,56TmB90VrJo_000041_000051
2CApmRb1jVg,60,70,2CApmRb1jVg_000060_000070
ub2bJ8-YEns,4,14,ub2bJ8-YEns_000004_000014
YaZmm-muwns,34,44,YaZmm-muwns_000034_000044
OrtnlwoG39c,14,24,OrtnlwoG39c_000014_000024
jb9QwKFKhp4,54,64,jb9QwKFKhp4_000054_000064
hYsqNr7DICc,24,34,hYsqNr7DICc_000024_000034
6OCJBqrOjkI,24,34,6OCJBqrOjkI_000024_000034
gVAxJ0pGTT0,60,70,gVAxJ0pGTT0_000060_000070
qddsHGDsohk,24,34,qddsHGDsohk_000024_000034
MyElD7nDC1Y,11,21,MyElD7nDC1Y_000011_000021
0XI00rbag0E,4,14,0XI00rbag0E_000004_000014
sf18WasTCdM,24,34,sf18WasTCdM_000024_000034
1BvEXt0km8I,33,43,1BvEXt0km8I_000033_000043
yMZ8TkOCGWU,0,10,yMZ8TkOCGWU_000000_000010
8_FmjTVGZ1w,2,12,8_FmjTVGZ1w_000002_000012
u5pTi3pjt7Y,35,45,u5pTi3pjt7Y_000035_000045
BG9YLTtPfjQ,12,22,BG9YLTtPfjQ_000012_000022
o1tBfSsbmPI,49,59,o1tBfSsbmPI_000049_000059
BixZBtLiOgY,20,30,BixZBtLiOgY_000020_000030
SBymLh0uNOw,127,137,SBymLh0uNOw_000127_000137
MdaQrmO1Kuw,12,22,MdaQrmO1Kuw_000012_000022
afRfhgiaMUg,31,41,afRfhgiaMUg_000031_000041
lUSnEfyTIl4,48,58,lUSnEfyTIl4_000048_000058
SrXS4oPZ-8U,41,51,SrXS4oPZ-8U_000041_000051
rjcBUNC-1sw,8,18,rjcBUNC-1sw_000008_000018
uuOieuExzLQ,0,10,uuOieuExzLQ_000000_000010
4L1C6dExEDg,195,205,4L1C6dExEDg_000195_000205
x6qNRq9DNis,0,10,x6qNRq9DNis_000000_000010
wbBxcOqkNoU,73,83,wbBxcOqkNoU_000073_000083
4P5r35BINk0,216,226,4P5r35BINk0_000216_000226
VGRP4uwTKc8,122,132,VGRP4uwTKc8_000122_000132
ubgBPIylq5A,68,78,ubgBPIylq5A_000068_000078
6nfBmmrMUxw,135,145,6nfBmmrMUxw_000135_000145
e75Julo-RQg,5,15,e75Julo-RQg_000005_000015
eSBZ9UQx38w,91,101,eSBZ9UQx38w_000091_000101
xtI6Icm2Gbs,33,43,xtI6Icm2Gbs_000033_000043
DuGeSlEfFjk,295,305,DuGeSlEfFjk_000295_000305
Mx0LfNB5UpM,180,190,Mx0LfNB5UpM_000180_000190
rasvhB1Oaic,5,15,rasvhB1Oaic_000005_000015
EFCrxv1qcaw,15,25,EFCrxv1qcaw_000015_000025
myT0YiXgkDY,104,114,myT0YiXgkDY_000104_000114
HzvDZ7QqO_c,57,67,HzvDZ7QqO_c_000057_000067
x0EV6toYaUk,43,53,x0EV6toYaUk_000043_000053
lZBGS4Wz6fw,159,169,lZBGS4Wz6fw_000159_000169
rpM2FkrJXBE,0,10,rpM2FkrJXBE_000000_000010
W_l281jn7bE,18,28,W_l281jn7bE_000018_000028
GMOXwHzeIlQ,64,74,GMOXwHzeIlQ_000064_000074
1bOoCGS2_XA,306,316,1bOoCGS2_XA_000306_000316
XILxwnvvitA,24,34,XILxwnvvitA_000024_000034
zfk-PumTcM4,10,20,zfk-PumTcM4_000010_000020
r-CU6vcbc2Q,66,76,r-CU6vcbc2Q_000066_000076
QYE8rVl8kNY,14,24,QYE8rVl8kNY_000014_000024
SICBF6dPgFc,0,10,SICBF6dPgFc_000000_000010
60QYxbnDRq0,19,29,60QYxbnDRq0_000019_000029
e5Z_ety6yqU,11,21,e5Z_ety6yqU_000011_000021
fzwDjPILNc8,434,444,fzwDjPILNc8_000434_000444
OUM4TI_eyGo,37,47,OUM4TI_eyGo_000037_000047
_k0bshPFxEI,100,110,_k0bshPFxEI_000100_000110
LVumwaw9WzQ,253,263,LVumwaw9WzQ_000253_000263
MRw0qNEMnis,185,195,MRw0qNEMnis_000185_000195
ZrtUHx_ghJY,1,11,ZrtUHx_ghJY_000001_000011
C6SXG-Zl2Gc,7,17,C6SXG-Zl2Gc_000007_000017
T01QMxrUda4,0,10,T01QMxrUda4_000000_000010
-OJjKC3HSoE,498,508,-OJjKC3HSoE_000498_000508
iwsvTVt3rWw,58,68,iwsvTVt3rWw_000058_000068
mENzYMME6xY,78,88,mENzYMME6xY_000078_000088
FC4PXnw_Lrw,123,133,FC4PXnw_Lrw_000123_000133
A1LJ7K6eOgQ,3,13,A1LJ7K6eOgQ_000003_000013
s5tAQJtKCus,0,10,s5tAQJtKCus_000000_000010
R9zEwOi7gyU,29,39,R9zEwOi7gyU_000029_000039
67hUrAn3VnE,0,10,67hUrAn3VnE_000000_000010
F-7Z1n3eDMg,18,28,F-7Z1n3eDMg_000018_000028
JDBr3p6Yyo0,32,42,JDBr3p6Yyo0_000032_000042
VfmMdXe3VVo,12,22,VfmMdXe3VVo_000012_000022
oFgsUiOfSGM,0,10,oFgsUiOfSGM_000000_000010
POM6US533P0,17,27,POM6US533P0_000017_000027
sfi00mmMJ48,9,19,sfi00mmMJ48_000009_000019
aBTRTqMi-wM,1,11,aBTRTqMi-wM_000001_000011
MHonSZ_Y_GQ,43,53,MHonSZ_Y_GQ_000043_000053
l6qhPgHHXr0,0,10,l6qhPgHHXr0_000000_000010
H0vT1MApiw0,0,10,H0vT1MApiw0_000000_000010
abjzEE_RX18,12,22,abjzEE_RX18_000012_000022
AsJgDPLu_ro,11,21,AsJgDPLu_ro_000011_000021
FCoadAA-eUg,0,10,FCoadAA-eUg_000000_000010
UtKtEPxAqqY,9,19,UtKtEPxAqqY_000009_000019
_lYy9DQUkiY,4,14,_lYy9DQUkiY_000004_000014
_cf5SeL1da0,7,17,_cf5SeL1da0_000007_000017
ZqXv3AQl3eg,104,114,ZqXv3AQl3eg_000104_000114
E2iBgyvSZ9U,18,28,E2iBgyvSZ9U_000018_000028
5rGDXplF1XE,0,10,5rGDXplF1XE_000000_000010
RiCgdULyIeI,13,23,RiCgdULyIeI_000013_000023
_55umjahEOc,0,10,_55umjahEOc_000000_000010
kKaGp6efPPY,0,10,kKaGp6efPPY_000000_000010
UEqe808Nvqo,0,10,UEqe808Nvqo_000000_000010
VJp-PVGxMBg,0,10,VJp-PVGxMBg_000000_000010
hqGLjDQxwKU,0,10,hqGLjDQxwKU_000000_000010
1SivOp5wzR4,0,10,1SivOp5wzR4_000000_000010
rFnYMOMwHHk,2,12,rFnYMOMwHHk_000002_000012
WDSg2MPOdGs,9,19,WDSg2MPOdGs_000009_000019
Emc4SsrL2ac,0,10,Emc4SsrL2ac_000000_000010
4fDauR8Owtk,90,100,4fDauR8Owtk_000090_000100
NG1Yw9jKnM0,0,10,NG1Yw9jKnM0_000000_000010
ZbelRhASHww,0,10,ZbelRhASHww_000000_000010
VHv73P85e54,0,10,VHv73P85e54_000000_000010
OBm8hp6RBpw,14,24,OBm8hp6RBpw_000014_000024
4yLMvPHUjp0,18,28,4yLMvPHUjp0_000018_000028
l0IbxJrvkps,0,10,l0IbxJrvkps_000000_000010
MGM2pYIlj9s,9,19,MGM2pYIlj9s_000009_000019
MAmtHQIws7Q,39,49,MAmtHQIws7Q_000039_000049
g5WozmwLles,14,24,g5WozmwLles_000014_000024
JDdb4kNuKOE,13,23,JDdb4kNuKOE_000013_000023
EUnzrSuhd7A,7,17,EUnzrSuhd7A_000007_000017
SZYfXnoTmPE,255,265,SZYfXnoTmPE_000255_000265
P2fMZLoM6rs,61,71,P2fMZLoM6rs_000061_000071
KaydIYnjxcA,1,11,KaydIYnjxcA_000001_000011
U99IOEerPLo,2,12,U99IOEerPLo_000002_000012
Xx6O2OK8aLc,434,444,Xx6O2OK8aLc_000434_000444
zvWzFXOZwPE,0,10,zvWzFXOZwPE_000000_000010
tBYysAW5lmA,300,310,tBYysAW5lmA_000300_000310
5S0S8Tft-hI,0,10,5S0S8Tft-hI_000000_000010
qbs24Ldn5u8,98,108,qbs24Ldn5u8_000098_000108
hgZfdMsARZk,9,19,hgZfdMsARZk_000009_000019
CNy2f7f_gxg,81,91,CNy2f7f_gxg_000081_000091
u7BALSDdbw4,42,52,u7BALSDdbw4_000042_000052
5J2GWdeaVQ8,26,36,5J2GWdeaVQ8_000026_000036
9GI-CTGudp0,75,85,9GI-CTGudp0_000075_000085
ZR1fxdkIInY,2,12,ZR1fxdkIInY_000002_000012
rYnVViYbae0,0,10,rYnVViYbae0_000000_000010
sI4jHP_4bpo,152,162,sI4jHP_4bpo_000152_000162
natq1s469i8,15,25,natq1s469i8_000015_000025
nDtlkWBa5KY,19,29,nDtlkWBa5KY_000019_000029
SZZk7jJAhZ4,12,22,SZZk7jJAhZ4_000012_000022
Hv7fi21CdG8,24,34,Hv7fi21CdG8_000024_000034
yxEGKC4YHes,0,10,yxEGKC4YHes_000000_000010
bsEhjvqL4cw,5,15,bsEhjvqL4cw_000005_000015
hXztequDRPo,183,193,hXztequDRPo_000183_000193
9F64vcwMFyU,36,46,9F64vcwMFyU_000036_000046
DVzHuIXkrRE,44,54,DVzHuIXkrRE_000044_000054
efWhZpBtPOs,34,44,efWhZpBtPOs_000034_000044
ZSYJC8QOoh8,19,29,ZSYJC8QOoh8_000019_000029
9vOJ_EAXmhY,0,10,9vOJ_EAXmhY_000000_000010
hY7VHetxSYk,3,13,hY7VHetxSYk_000003_000013
RtLoIMLSbS8,3,13,RtLoIMLSbS8_000003_000013
wczvD-5wdvM,292,302,wczvD-5wdvM_000292_000302
UP1TePkCdMk,1,11,UP1TePkCdMk_000001_000011
e9F0bX_CFBk,0,10,e9F0bX_CFBk_000000_000010
POrg0Yfa3TE,23,33,POrg0Yfa3TE_000023_000033
bNym1Z5V3S0,272,282,bNym1Z5V3S0_000272_000282
LW3YaXGv5Mc,30,40,LW3YaXGv5Mc_000030_000040
6ce-ODc7v-Q,30,40,6ce-ODc7v-Q_000030_000040
UQIvW2n-jp0,25,35,UQIvW2n-jp0_000025_000035
KbMAhi2s-go,8,18,KbMAhi2s-go_000008_000018
fexXcUETfu0,87,97,fexXcUETfu0_000087_000097
ywIUEa7PVzs,50,60,ywIUEa7PVzs_000050_000060
c3rtrQ8EYew,0,10,c3rtrQ8EYew_000000_000010
fYAHTmvuYzM,484,494,fYAHTmvuYzM_000484_000494
1yNtzcAsYM4,330,340,1yNtzcAsYM4_000330_000340
0hzi3pGX9TQ,30,40,0hzi3pGX9TQ_000030_000040
3f1SZDAv-Dw,1266,1276,3f1SZDAv-Dw_001266_001276
-18X6h92xpw,24,34,-18X6h92xpw_000024_000034
A1oge1pGz74,243,253,A1oge1pGz74_000243_000253
0M1SkaJJcV0,191,201,0M1SkaJJcV0_000191_000201
8qnE63Mfa1s,66,76,8qnE63Mfa1s_000066_000076
6EvsxeJTD2Y,449,459,6EvsxeJTD2Y_000449_000459
VcOcmdWsCi8,170,180,VcOcmdWsCi8_000170_000180
0xS32LBYiWA,32,42,0xS32LBYiWA_000032_000042
p_keyvOFU4U,51,61,p_keyvOFU4U_000051_000061
FSxnsMZTDLk,28,38,FSxnsMZTDLk_000028_000038
MRL_QqebIHE,11,21,MRL_QqebIHE_000011_000021
xN4iv4XzQhY,155,165,xN4iv4XzQhY_000155_000165
2uYzYTyGw_4,96,106,2uYzYTyGw_4_000096_000106
Z2O3DEv9ItM,251,261,Z2O3DEv9ItM_000251_000261
Wmc_BCjdufo,126,136,Wmc_BCjdufo_000126_000136
Mad5Y1r9iTI,199,209,Mad5Y1r9iTI_000199_000209
ARyrI-nDoE8,2,12,ARyrI-nDoE8_000002_000012
zFzPOsOKog4,8,18,zFzPOsOKog4_000008_000018
DNNXuMtfJsI,382,392,DNNXuMtfJsI_000382_000392
Q1iCbWf13TY,0,10,Q1iCbWf13TY_000000_000010
tQxCenlYRm8,105,115,tQxCenlYRm8_000105_000115
EpbYRgIsQRg,18,28,EpbYRgIsQRg_000018_000028
9RAX3jBDAo8,1141,1151,9RAX3jBDAo8_001141_001151
xCNaxH4PmeE,41,51,xCNaxH4PmeE_000041_000051
Dl1NDAZJ8lY,3,13,Dl1NDAZJ8lY_000003_000013
Nw-X7MCN0ZM,3,13,Nw-X7MCN0ZM_000003_000013
owqeMJHjfe8,3,13,owqeMJHjfe8_000003_000013
3OECk4OXNpc,22,32,3OECk4OXNpc_000022_000032
VJdXhDaPND4,758,768,VJdXhDaPND4_000758_000768
D7ZgIUJGcsY,599,609,D7ZgIUJGcsY_000599_000609
1nWfIO-l03k,990,1000,1nWfIO-l03k_000990_001000
RMyXs-YiDIU,25,35,RMyXs-YiDIU_000025_000035
Smeg-wr1AWQ,130,140,Smeg-wr1AWQ_000130_000140
N3bROK0uXE4,10,20,N3bROK0uXE4_000010_000020
9buMlUu50VM,55,65,9buMlUu50VM_000055_000065
93n2-a52t_4,9,19,93n2-a52t_4_000009_000019
TWgxyrL7EvU,174,184,TWgxyrL7EvU_000174_000184
I_5Rgw1k9mg,2,12,I_5Rgw1k9mg_000002_000012
yfkNCKlVOoY,68,78,yfkNCKlVOoY_000068_000078
EP2KbPza-Xg,268,278,EP2KbPza-Xg_000268_000278
f8J1pnb5sT0,84,94,f8J1pnb5sT0_000084_000094
s5Fdh_C6rWk,1,11,s5Fdh_C6rWk_000001_000011
HMxe85Qi6nI,20,30,HMxe85Qi6nI_000020_000030
Y_rtxFTnyWI,274,284,Y_rtxFTnyWI_000274_000284
hRisIK4NSds,96,106,hRisIK4NSds_000096_000106
UbwMryGDO-Q,75,85,UbwMryGDO-Q_000075_000085
S7SJdtU9vP4,20,30,S7SJdtU9vP4_000020_000030
raiGqqFmM64,13,23,raiGqqFmM64_000013_000023
0zLBRmW4XIM,89,99,0zLBRmW4XIM_000089_000099
kRsqcatA89E,114,124,kRsqcatA89E_000114_000124
10DaYl4acVI,346,356,10DaYl4acVI_000346_000356
s_nTjVyg-qo,133,143,s_nTjVyg-qo_000133_000143
l_jxxpv9hew,22,32,l_jxxpv9hew_000022_000032
BvtY-BvEORY,42,52,BvtY-BvEORY_000042_000052
lh7MkOo4jzI,218,228,lh7MkOo4jzI_000218_000228
QKcFjvFw2GM,124,134,QKcFjvFw2GM_000124_000134
8QxSLAOY100,96,106,8QxSLAOY100_000096_000106
-0L4z8D2eGs,43,53,-0L4z8D2eGs_000043_000053
DahRSOcVLRY,150,160,DahRSOcVLRY_000150_000160
Bku4waXc93M,1156,1166,Bku4waXc93M_001156_001166
-7tDxxH2g6I,16,26,-7tDxxH2g6I_000016_000026
CK9pliGQiOs,219,229,CK9pliGQiOs_000219_000229
nopI2dh-UQU,123,133,nopI2dh-UQU_000123_000133
8Ye63Vtt114,99,109,8Ye63Vtt114_000099_000109
3D6ISvLgwH8,33,43,3D6ISvLgwH8_000033_000043
OOUbiBp5wLQ,1,11,OOUbiBp5wLQ_000001_000011
mKiib4EaEno,105,115,mKiib4EaEno_000105_000115
30yx2xLbPZ4,28,38,30yx2xLbPZ4_000028_000038
iLeipzCbIRY,186,196,iLeipzCbIRY_000186_000196
TFoanS5I1ZY,28,38,TFoanS5I1ZY_000028_000038
vKjgKN76_h4,53,63,vKjgKN76_h4_000053_000063
SH5olE6B5sQ,25,35,SH5olE6B5sQ_000025_000035
-05qSkAhM6Y,205,215,-05qSkAhM6Y_000205_000215
vFzmTp8GfuU,158,168,vFzmTp8GfuU_000158_000168
_usikou9Muc,31,41,_usikou9Muc_000031_000041
wVZ85U_dgNs,202,212,wVZ85U_dgNs_000202_000212
ES3xHyEesS8,45,55,ES3xHyEesS8_000045_000055
cMVkWCb3fE8,103,113,cMVkWCb3fE8_000103_000113
0GJDwzYw7wo,3,13,0GJDwzYw7wo_000003_000013
6zFFYvLmPTI,4,14,6zFFYvLmPTI_000004_000014
zkyy5cC7SL4,0,10,zkyy5cC7SL4_000000_000010
NNlXT64FyCY,2,12,NNlXT64FyCY_000002_000012
c-m7gaYOGF0,20,30,c-m7gaYOGF0_000020_000030
jAxlicigO5Y,11,21,jAxlicigO5Y_000011_000021
igCZAMVcvsQ,2,12,igCZAMVcvsQ_000002_000012
FCc-qnF2EfM,10,20,FCc-qnF2EfM_000010_000020
NbcRkowabg4,15,25,NbcRkowabg4_000015_000025
BMX8QRy7XtM,0,10,BMX8QRy7XtM_000000_000010
U0z2NCWoViA,0,10,U0z2NCWoViA_000000_000010
uG4ip8Eqszs,22,32,uG4ip8Eqszs_000022_000032
h1MHuVav1kU,21,31,h1MHuVav1kU_000021_000031
H5Serpimcb0,19,29,H5Serpimcb0_000019_000029
-3Ck7V6iqPk,8,18,-3Ck7V6iqPk_000008_000018
OLNY6QxRB4U,12,22,OLNY6QxRB4U_000012_000022
Ksc1t5IkBZo,1,11,Ksc1t5IkBZo_000001_000011
Kti6wMnJYrU,0,10,Kti6wMnJYrU_000000_000010
B_ksWK1Qsg8,8,18,B_ksWK1Qsg8_000008_000018
BFPKPjBgXIU,22,32,BFPKPjBgXIU_000022_000032
aeR9wdp1YwE,23,33,aeR9wdp1YwE_000023_000033
Q65btERYbxg,5,15,Q65btERYbxg_000005_000015
rY_81VW3PvI,57,67,rY_81VW3PvI_000057_000067
KFDb_WxHPLg,6,16,KFDb_WxHPLg_000006_000016
GrwhR6vJASs,27,37,GrwhR6vJASs_000027_000037
LuSalTvpzI4,19,29,LuSalTvpzI4_000019_000029
ehxWC3nDZC8,3,13,ehxWC3nDZC8_000003_000013
UjNp9euVdAA,12,22,UjNp9euVdAA_000012_000022
F56MNeSubws,3,13,F56MNeSubws_000003_000013
gtfY2jotzkY,89,99,gtfY2jotzkY_000089_000099
lRn9DC8yo7M,45,55,lRn9DC8yo7M_000045_000055
NcjNaEwL9hY,43,53,NcjNaEwL9hY_000043_000053
FyYRvnHdOgU,3,13,FyYRvnHdOgU_000003_000013
9FavIAzhWdU,2,12,9FavIAzhWdU_000002_000012
sWZbzy3tjj4,0,10,sWZbzy3tjj4_000000_000010
C4-ZQjH2tNM,37,47,C4-ZQjH2tNM_000037_000047
5HoJKHUpWxE,113,123,5HoJKHUpWxE_000113_000123
pMKH2S_EHlY,4,14,pMKH2S_EHlY_000004_000014
t99HGh595PA,13,23,t99HGh595PA_000013_000023
3q0f6BJx_V8,2,12,3q0f6BJx_V8_000002_000012
3eAfdZZ8-Ns,13,23,3eAfdZZ8-Ns_000013_000023
6PqipkA_7Rk,18,28,6PqipkA_7Rk_000018_000028
SpQApEpufNY,15,25,SpQApEpufNY_000015_000025
6691uZARdms,21,31,6691uZARdms_000021_000031
wD9mBFSHM1Y,0,10,wD9mBFSHM1Y_000000_000010
NSuEnzMRJII,8,18,NSuEnzMRJII_000008_000018
JpwYnXhyTFM,41,51,JpwYnXhyTFM_000041_000051
jadwMJLsXI4,24,34,jadwMJLsXI4_000024_000034
ReIMW1pFBMI,17,27,ReIMW1pFBMI_000017_000027
2KQ1mvI_k2Y,0,10,2KQ1mvI_k2Y_000000_000010
nWfyPrL50zM,78,88,nWfyPrL50zM_000078_000088
U_JuV55xwAg,1761,1771,U_JuV55xwAg_001761_001771
rh-UVj0wPtw,6,16,rh-UVj0wPtw_000006_000016
UtCaaaiHLhY,142,152,UtCaaaiHLhY_000142_000152
T31lDSNTmsY,6,16,T31lDSNTmsY_000006_000016
_zyHfkpeitg,76,86,_zyHfkpeitg_000076_000086
6UZnidLsjIk,0,10,6UZnidLsjIk_000000_000010
kvCaATaX8bY,15,25,kvCaATaX8bY_000015_000025
0SuAwpjkU0c,7,17,0SuAwpjkU0c_000007_000017
4dLdF7J2hGc,8,18,4dLdF7J2hGc_000008_000018
UdVsbIeCgDQ,27,37,UdVsbIeCgDQ_000027_000037
YoMbKbCdBbc,258,268,YoMbKbCdBbc_000258_000268
TCRDSwJWKFQ,3,13,TCRDSwJWKFQ_000003_000013
JZs4hU1HS3Y,0,10,JZs4hU1HS3Y_000000_000010
kHqgztSUm7g,6,16,kHqgztSUm7g_000006_000016
0gQxSyreT3Q,8,18,0gQxSyreT3Q_000008_000018
ImWySuMRbXY,16,26,ImWySuMRbXY_000016_000026
V59G2JApoeo,8,18,V59G2JApoeo_000008_000018
68npgFAAkew,73,83,68npgFAAkew_000073_000083
y5sFDMJNE3g,4,14,y5sFDMJNE3g_000004_000014
QfKiPxghxmw,3,13,QfKiPxghxmw_000003_000013
DLg2UU3ev1c,8,18,DLg2UU3ev1c_000008_000018
oPwOZXj-JL8,123,133,oPwOZXj-JL8_000123_000133
2UQosNUtK_Q,50,60,2UQosNUtK_Q_000050_000060
y7YjijmBEgM,51,61,y7YjijmBEgM_000051_000061
fKtgN4cOWG8,11,21,fKtgN4cOWG8_000011_000021
MJNjtzrl5qk,0,10,MJNjtzrl5qk_000000_000010
FfOEo0s-rII,11,21,FfOEo0s-rII_000011_000021
S72rhDECjqg,88,98,S72rhDECjqg_000088_000098
QU7V8yF0XbI,24,34,QU7V8yF0XbI_000024_000034
Im-hSb7cIeE,1,11,Im-hSb7cIeE_000001_000011
DA8K3c4HgVo,3,13,DA8K3c4HgVo_000003_000013
C7okhbC3viU,1,11,C7okhbC3viU_000001_000011
PCZp6p8PCBA,4,14,PCZp6p8PCBA_000004_000014
HJO_qH_-eFY,3,13,HJO_qH_-eFY_000003_000013
FpC1qkjuusA,1,11,FpC1qkjuusA_000001_000011
s78PdPG8tqw,1,11,s78PdPG8tqw_000001_000011
YTIwmPMxlA8,0,10,YTIwmPMxlA8_000000_000010
ydSqAMIu1DM,1,11,ydSqAMIu1DM_000001_000011
VEZ_pP3v5AM,7,17,VEZ_pP3v5AM_000007_000017
qMQaYUZNQ90,23,33,qMQaYUZNQ90_000023_000033
pDkqekXopw8,0,10,pDkqekXopw8_000000_000010
WMfE3_D4syk,75,85,WMfE3_D4syk_000075_000085
plWaD9NTgeQ,113,123,plWaD9NTgeQ_000113_000123
eqU1z1NRG5M,23,33,eqU1z1NRG5M_000023_000033
eQg4xmw0UUY,5,15,eQg4xmw0UUY_000005_000015
3p6gVU_wctg,4,14,3p6gVU_wctg_000004_000014
NYPx8fE0w00,24,34,NYPx8fE0w00_000024_000034
U-iQuIgd5ps,478,488,U-iQuIgd5ps_000478_000488
SjdtE-Gb3BU,74,84,SjdtE-Gb3BU_000074_000084
olp1Nzp1Bk0,40,50,olp1Nzp1Bk0_000040_000050
1B7v7KBj8CA,48,58,1B7v7KBj8CA_000048_000058
Tt3EdH8xjTg,0,10,Tt3EdH8xjTg_000000_000010
qQ_gtEh-PDQ,123,133,qQ_gtEh-PDQ_000123_000133
N4EKnIiDo1A,385,395,N4EKnIiDo1A_000385_000395
b6_tmS5UCNE,40,50,b6_tmS5UCNE_000040_000050
SazGAq3beck,3,13,SazGAq3beck_000003_000013
zZPSPzAtWiI,96,106,zZPSPzAtWiI_000096_000106
GT67ogDNBjo,134,144,GT67ogDNBjo_000134_000144
dIG3FFYqrXw,64,74,dIG3FFYqrXw_000064_000074
wdzGexiKEtQ,51,61,wdzGexiKEtQ_000051_000061
NCtNytbP5Sc,241,251,NCtNytbP5Sc_000241_000251
o28yOO_4fAE,14,24,o28yOO_4fAE_000014_000024
8xs9qrA7-j0,21,31,8xs9qrA7-j0_000021_000031
SGW0bkj4WhQ,31,41,SGW0bkj4WhQ_000031_000041
afbuPUSgrqU,179,189,afbuPUSgrqU_000179_000189
ARljeqwkSTI,36,46,ARljeqwkSTI_000036_000046
wPB9K8NXOsE,86,96,wPB9K8NXOsE_000086_000096
0CcZv2sSMfs,91,101,0CcZv2sSMfs_000091_000101
TNCpJ0EhfjY,88,98,TNCpJ0EhfjY_000088_000098
h_tNnfMyGng,144,154,h_tNnfMyGng_000144_000154
0JzTdkdyXIQ,54,64,0JzTdkdyXIQ_000054_000064
pKv_pD_oREk,141,151,pKv_pD_oREk_000141_000151
hyW8-NU4-lc,29,39,hyW8-NU4-lc_000029_000039
X6LQ4K352TI,42,52,X6LQ4K352TI_000042_000052
KwgkeS1sPzA,10,20,KwgkeS1sPzA_000010_000020
hHUtx0Tj2Pc,49,59,hHUtx0Tj2Pc_000049_000059
SWOiZM4j-bM,0,10,SWOiZM4j-bM_000000_000010
_Ewqam2wJeg,3,13,_Ewqam2wJeg_000003_000013
ExD5KXRtLHA,111,121,ExD5KXRtLHA_000111_000121
UscsLDIr8QE,55,65,UscsLDIr8QE_000055_000065
rP7cfnjHsy0,1,11,rP7cfnjHsy0_000001_000011
t3h2PvBUk3k,3,13,t3h2PvBUk3k_000003_000013
00cwEcZZcu4,3,13,00cwEcZZcu4_000003_000013
vdPUN0P8zLY,71,81,vdPUN0P8zLY_000071_000081
1njl6FwwmnQ,9,19,1njl6FwwmnQ_000009_000019
uc67mNBQRAg,2,12,uc67mNBQRAg_000002_000012
2MdSyWlyxXs,382,392,2MdSyWlyxXs_000382_000392
wigfUaIL_L0,1,11,wigfUaIL_L0_000001_000011
MOBC2AAtq8w,0,10,MOBC2AAtq8w_000000_000010
NAq3QFDbhCU,4,14,NAq3QFDbhCU_000004_000014
itl0hKNOXW8,138,148,itl0hKNOXW8_000138_000148
qlucHuYtWlo,50,60,qlucHuYtWlo_000050_000060
gwEVTJ908SQ,21,31,gwEVTJ908SQ_000021_000031
g3GJvDqtfys,31,41,g3GJvDqtfys_000031_000041
